,text,label,wordCount
18,each party agrees to comply fully with all applicable laws and regulations including without limitation those related to the united states department of commerce and with the united states export administration act as amended from time to time and with all applicable laws and regulations of other jurisdictions with respect to the importation and use of the p1_pros,42,58
19,p1_name shall maintain commercially reasonable administrative physical and technical safeguards designed for the protection confidentiality and integrity of customer data,18,20
20,this agreement shall be governed exclusively by delaware law the parties hereby submit to the exclusive jurisdiction of the state and federal courts located in delaware for resolution of any disputes arising out of this agreement,26,36
21,p1_name shall use all reasonable endeavours to pass through to the customer any manufacturer s warranty available with hardware except in relation to hardware which is manufactured by p1_name p1_name shall not be liable to the customer for any operational defects in hardware other than such defects which p1_name as a result of a physical examination of the hardware could reasonably be expected to have been aware of when supplying such hardware to the customer p1_name shall use all reasonable endeavours to assist the customer in having such hardware repaired or replaced under the manufacturer s warranty p1_name warrants that hardware will be fit for any purpose set out in customer specifications agreed between the parties in writing but not for any other purpose p1_name gives no other warranties in respect of the hardware except those expressly set out in this agreement and all other warranties in relation to the hardware including those relating to merchantability and fitness for purpose are hereby excluded to the maximum extent permitted by law title to hardware does not pass to the customer until all sums owed by the customer to p1_name whether under this agreement or otherwise have been paid risk in the hardware shall pass to the customer on delivery the customer grants p1_name an irrevocable licence to enter any of the customer s premises where hardware is kept to repossess hardware if i the customer is in breach of its payment obligations under this agreement and ii p1_name has a right to terminate this agreement the fact that title in hardware has not passed to the customer shall not prevent p1_name from instituting proceedings against the customer for nonpayment of the price of that hardware if delivery of hardware to the customer is delayed for any reason beyond p1_name s reasonable control and during the period of such delay the price at which p1_name purchases such hardware increases p1_name shall have the right to add the amount of the increase in such price to the charges paid by the customer for the hardware,15,342
22,subject to clauses 42 and 44 p1_name warrants that any p1_name software will substantially comply in all material respects with the documentation and the customer specifications for the agreed warranty period s set out in schedule 2 or the applicable order which if no warranty period is expressly stated shall be deemed to be 3 months the customer s sole remedy for breach of this warranty is the right to require p1_name promptly and at its own costs to replace rectify or correct the software such that it complies with the warranty the customer acknowledges that software will not be errorfree and that its availability will not be uninterrupted the warranty in clause 41 shall not apply if the p1_name software is not used in accordance with the relevant documentation a defect has been caused by the malfunctioning of any of the customer s equipment any other cause within the control of the customer causes the p1_name software to be damaged or to malfunction the customer has made any modification to the software or the customer s claim results wholly or in part from the operator being insufficiently trained by the customer in the use of the p1_name software third party software is subject to the performance warranty for that software contained in the relevant third party licence terms and no other warranty unless expressly agreed otherwise in writing the supply to the customer of any software under this agreement and its subsequent use by the customer shall be subject to in the case of p1_name software the licence contained in clause 45 or at p1_name s option a separate p1_name software licence and in the case of third party software the relevant third party licence terms without prejudice to the foregoing p1_name shall have no obligation to supply any third party software to the customer until the customer has signed a copy of the applicable third party licence terms the customer agrees to comply with such third party licence terms and to indemnify p1_name from any loss suffered by p1_name as a result of the customer s breach of such terms subject to clause 47 and any additional licence terms contained in schedule 2 or any applicable order p1_name hereby grants the customer a nonexclusive nontransferable licence to use the bespoke software and any other p1_name software which is not licensed under a separate p1_name software licence for the customer s internal business purposes only p1_name warrants that where it supplies third party software it shall have all necessary rights and licences to do so and to authorise the customer to use such third party software in accordance with the third party licence terms the customer shall not and is not in any way licensed to use or copy the p1_name software other than as permitted by this agreement offer use of or access to the p1_name software as part of a bureau or application provider service sell assign rent sublicense loan mortgage charge or otherwise deal with the p1_name software or the documentation whether in written form or otherwise or with any interest in them except as expressly provided in this agreement modify or make additions to the p1_name software except to the extent permitted by law or copy any documentation where p1_name software is licensed to the customer under a separate p1_name software licence such p1_name software shall unless expressly agreed otherwise in writing only be subject to the warranties contained in that p1_name software licence and not to the warranties in clauses 41 and 72 unless expressly agreed otherwise in writing the customer shall have no right to use software in a live environment unless the customer also pays for support services in accordance with this agreement p1_name has no obligation to place any software in escrow unless expressly agreed otherwise under a separate escrow agreement,15,640
23,the customer shall pay the charges within 30 days of receipt of a valid tax invoice from p1_name unless otherwise agreed in the relevant schedule or order all amounts stated in this agreement or any quotation documentation or correspondence are exclusive of vat unless stated otherwise the customer agrees to pay any vat for which it is properly liable together with any other applicable taxes unless agreed otherwise in writing the customer agrees to reimburse p1_name at cost for all expenses properly incurred by p1_name in performing the services subject to receiving documentary evidence of such expenses mileage will be charged at p1_name s published rate or such other rate as the parties agree p1_name may charge the customer interest at the rate of 3 percent per annum above the base rate from time to time of barclays bank plc on all late payments under this agreement the customer may not set off or deduct from charges owed to p1_name any amounts which may be owed from time to time by p1_name to the customer whether under this agreement or otherwise,46,181
24,all intellectual property rights in p1_name software are and shall remain the property of p1_name and its affiliates and all intellectual property rights in third party software are and shall remain the property of the relevant third party proprietor p1_name warrants that p1_name software will not infringe the intellectual property rights of any third party if any third party claims that p1_name software infringes that party s intellectual property rights p1_name shall have the right to replace andor modify such software at its own cost the customer shall promptly notify p1_name of any such claim of which the customer becomes aware except as expressly set out in the relevant third party licence terms no warranty is given by p1_name or the relevant third party in respect of third party software,30,130
25,p1_name may subcontract any of its obligations under this agreement without notice to the customer provided that subject to clause 82 it remains liable for the performance of such obligations under this agreement where p1_name has subcontracted any services to a third party specified by the customer p1_name shall not be liable for any nonperformance of that third party s obligations and for the purposes of this agreement any delay or hindrance caused by or attributable to that third party shall be considered to have been caused by the customer as part of carrying out its obligations under this agreement p1_name may recommend or suggest that a third party carry out work or supplies goods software or services by making this recommendation or suggestion p1_name does not guarantee that work or those goods software or services,13,136
26,subject to clause 92 the liability of p1_name to the customer under or in connection with this agreement including in tort including negligence shall be limited as follows in the case of liability arising in connection with hardware p1_name s maximum aggregate liability shall be the amount of the charges paid for the hardware in the case of liability arising in connection with software p1_name s maximum aggregate liability shall be the amount of the charges paid for the software in the case of liability arising in connection with services p1_name s maximum aggregate liability shall be the amount of the charges paid for the services by the exclusion of any liability for indirect or consequential loss or any loss of profits business or goodwill or loss or corruption of data by the exclusion of any liability for third party claims and without prejudice to the foregoing p1_name s maximum aggregate liability shall in any case not exceed the total amount of the charges payable to p1_name by the customer under this agreement nothing in this agreement shall reduce or restrict p1_name s liability for fraud or for the death of or personal injury to anyone that is caused by the negligence of p1_name or anyone for whom it is responsible,57,211
27,each party shall only use the confidential information disclosed to it by the other for the purposes of this agreement and not disclose to any third party any confidential information disclosed to it by the other without the other s prior written agreement each party to this agreement shall observe strict confidentiality as to the contents of this agreement and the commercial relationships to which it relates clauses 101 and 102 shall not apply to communications made in confidence between the parties and i their respective professional advisers and bankers and ii potential investors and their respective professional advisers and bankers if disclosure is required by any applicable laws any relevant regulatory authority any court of competent jurisdiction or the rules of any stock exchange on which the shares of either party are listed or to information that has come into the public domain otherwise than by reason of the default of the relevant party or its advisers nothing in this agreement shall restrict p1_name from using any technical knowhow gained or utilised by p1_name or its personnel or contractors in the course of performing p1_name s obligations under this agreement the customer agrees that during the term and for the posttermination period it shall not approach with a view to engaging or engage any of p1_name s staff with whom the customer has previously had contact or introduce or identify any such member of p1_name s staff to any other person with a view to that other person engaging such staff member in this clause the posttermination period means the longer of a the period after termination which falls within 12 months of the last contact during the term between the relevant member of p1_name s staff and the customer and b six months,19,295
28,either party may terminate this agreement immediately by written notice to the other if the other party has an insolvency practitioner appointed over any of its assets or otherwise is unable to pay its debts as they fall due as defined in s123 1 of the insolvency act 1986 the other party ceases or threatens to cease to carry on business or the other party breaches any provision of this agreement and where such breach is capable of remedy has failed to remedy it within 30 days of receipt of a notice specifying the breach and requiring it to be remedied p1_name may terminate this agreement by giving not less than 30 days written notice to the customer if there is at any time a material change of control as that phrase is defined in section 840 of the income and corporation taxes act 1988 of the customer p1_name may terminate the provision of any services other than the support services on reasonable notice the support services may be terminated in accordance with schedule 4 unless expressly agreed otherwise in writing termination of this agreement by p1_name pursuant to clauses 111 or 112 shall automatically terminate the customer s licence s to use software subject to any rights or obligations which have accrued prior to termination and any provisions which by their nature are intended to survive termination including clauses 25 34 35 36 46 71 73 82 83 9 10 and 1215 following termination neither party shall have any further obligation to the other under this agreement,11,258
29,if any dispute or grievance arises between the parties in connection with this agreement before taking any further action the parties agree that the dispute will be discussed by staff members of each of them who are most closely involved with the running of the contract if that does not produce a resolution the problem will be escalated to the respective superiors of each staff member respectively until the problem is dealt with only if the respective ceos or equivalent of each party can not reach agreement on the dispute will the matter be taken to the next stage as set out below should the escalation mechanism set out in clause 121 above fail to be effective before taking any other action the parties agree to submit in good faith to a mediation procedure administered by cedr or failing that such other similar organisation as the president for the time being of the law society of england and wales shall nominate unless the parties agree otherwise the costs of the mediation shall be borne between them equally,27,177
30,where any notice is required to be given under this agreement where the word notify is used it means to give notice it is validly given if it is in writing and sent by fax email or prepaid firstclass or airmail post to the correct fax number email address or postal address of the relevant party as previously notified to the other party where sent by fax the notice is deemed to have arrived immediately upon sending if sent by email the notice is deemed to have arrived 24 hours after it was sent unless within those 24 hours the sender has been sent an email saying that the notice has not been delivered if sent by post the notice is deemed to have arrived on the third working day after the day on which it was sent if sent to an address within the uk the fifth working day if sent to an address within the eea or on the seventh working day anywhere else in the world unless in each case within that period it was returned as undelivered,9,181
31,neither party shall be liable to the other for any delay or failure in the performance of its obligations under this agreement to the extent that such delay or failure was caused by any event or circumstance beyond its reasonable control,25,41
32,this agreement may be amended from time to time by the agreement of the parties but no such amendment shall be effective unless recorded in writing and duly signed by the parties,48,32
33,neither party may assign its rights or obligations under this agreement without the written consent of the other save that p1_name may assign all its rights and obligations in connection with the sale of all or a substantial part of its assets,7,42
34,if the whole or any part of any term condition or provision of this agreement is determined invalid unlawful or unenforceable to any extent then such term condition or provision or part thereof shall be severed from the remaining terms conditions and provisions which shall continue to be valid and enforceable to the fullest extent permitted by law,44,58
35,this agreement is not intended to convey a benefit on any person not a party to it and accordingly the provisions of the contracts rights of third parties act 1999 are excluded,14,32
36,this agreement is governed by english law and the parties hereby submit to the nonexclusive jurisdiction of the english courts,0,20
37,subject to the terms of the agreement name grants customer and its affiliates a nonexclusive w orldwide nontransferable except to a successor in interest as permitted hereunder license to use the listed on the order form during the term such license shall allow for the use of the by the customer for the purposes of providing services for the benefit of member banks and for use by customers of the member banks for the purposes of transmitting such customer s information through the customer s right to use the is limited only to the volume and other restrictions contained in these general terms and conditions including clause 138 exports controls the product exhibit and in the order form,51,118
38,as between the parties customer is responsible for i all activities conducted under a system user logins ii obtaining and maintaining any customer equipment and any ancillary services needed to connect to access or otherwise use the p1_pros and iii ensuring that the customer equipment and any ancillary services are compatible with the p1_pros and comply with all requirements set forth in the documentation customer represents and warrants that customer will use the p1_pros in accordance with the license in section 2 in compliance with applicable law and shall not a resell sublicense lease timeshare or otherwise make the p1_pros available to any third party b send or store infringing or unlawful material using the p1_pros c attempt to gain unauthorized access to or disrupt the integrity or performance of the p1_pros or the data contained therein d allow sharing of a system user account by more than one individual e modify copy or create derivative works based on the p1_pros f reverse engineer the p1_pros g propagate any virus worms trojan horses or other programming routine intended to damage any system or data h access the p1_pros for the purpose of building a competitive product or service or copying its features or user interface i use the p1_pros or permit it to be used for purposes of product evaluation benchmarking or other comparative analysis intended for publication without p1_name s prior written consent or i permit access to the p1_pros by a direct competitor of p1_name in the event customer has a nonproduction license to the p1_pros customer shall only use such p1_pros for nonproduction purposes any failure of customer to comply with the obligations set forth in this section 3 shall be deemed a material breach of this agreement,31,291
39,p1_name provides professional services as described in this section 4 professional services will be as identified on an order form p1_name s professional services p1_pro2 p1_pro3 p1_pro4 and standard training courses are also described in the applicable documentation specification sheet found at p1_hyp the following professional services are bought as prepaid package and are not offered on a time and materials basis p1_pro2 is a series of activities and facilitated sessions with p1_name to build the foundation for customer s api s and may include the following segments accelerator planning scoping architecture and design operations and support and delivery infrastructure p1_pro3 purchased in bulk amounts are generally used for installation of the p1_pros in customer s facilities as well as configuration and testing addressing developer portal security security integration branding site integration taxonomy key management architectural services addressing testing addressing api security eg oauth transformation traffic management logging apidn pci and other configuration activities including but not limited to and analytics services metrics definition configuration development and testing addressing custom reports customer s initial order of asu is further described in appendix e and is inclusive of travel and related expenses p1_pro4 purchased in bulk amounts are provided by p1_name s strategy team and are generally used for executive strategy workshops and governance andor ecosystem strategies as well as other strategic initiatives p1_name also offers standard training courses which are provided as described in the documentation p1_name may in limited circumstances agree to provide professional services andor training services other than those listed above in a mutually executed statement of work an sow generated by p1_name that specifically incorporates this agreement by reference section 51 defines the intellectual property rights related to professional services and section 82 includes the warranty obligations for such professional services,53,295
40,as between customer and p1_name customer shall retain all ownership rights in the customer data as defined in section 1 and customer confidential information including that customer data and customer confidential information which is included in any services materials andor training materials except as otherwise expressly identified in a mutually executed statement of work as between customer and p1_name p1_name shall have and retain all ownership rights in the p1_pros training materials and all work developed or created by p1_name during the course of providing professional services or training services to customer if any p1_name hereby grants customer a royaltyfree w orldwide fully paidup nonexclusive license to use all work developed or created by p1_name that is provided to customer as a result of providing professional services andor training services including any such service materials andor training materials to customer on the same terms and conditions as the p1_pros in addition to the foregoing in the event p1_name assists customer in defining policies for its apis policy definitions and then configures the p1_pros with the policy definitions p1_name hereby grants customer a royaltyfree fully paidup nonexclusive perpetual irrevocable worldwide transferable to the extent set forth in section 137 license to use copy and distribute the policy definitions solely for its internal business purposes which shall also include member banks and their affiliates internal business purposes p1_name shall own any suggestions enhancement requests recommendations or other feedback provided by customer or users relating to the p1_pros no license right or interest in any p1_name or customer trademark trade name or service mark is granted hereunder,18,264
